method,0,20,40,60,80,100
SmartInitialGuess,3.00 + 1.41,3.25 + 0.83,2.92 + 0.86,2.58 + 1.32,3.33 + 0.85,2.50 + 1.38
AlbaMethod,1.25 + 0.43,2.25 + 0.92,1.58 + 0.76,2.33 + 0.85,2.42 + 0.95,2.75 + 1.09
BasicActiveLearning,1.25 + 0.43,1.25 + 0.43,2.00 + 1.15,1.50 + 0.76,1.50 + 0.87,1.50 + 0.96
RandomSampling,1.25 + 0.43,2.92 + 1.19,2.92 + 1.19,3.08 + 1.11,2.50 + 0.96,2.83 + 0.80
