method,0,20,40,60,80,100
SmartInitialGuess,1.75 + 1.30,2.25 + 1.30,3.25 + 0.83,1.75 + 0.83,3.25 + 1.30,3.00 + 1.22
AlbaMethod,1.75 + 0.43,2.50 + 0.87,2.00 + 1.22,2.25 + 1.09,2.50 + 0.50,2.25 + 0.83
BasicActiveLearning,1.75 + 0.43,2.50 + 0.87,1.75 + 0.83,2.75 + 1.09,2.25 + 1.30,2.50 + 1.12
RandomSampling,1.75 + 0.43,2.25 + 1.09,2.25 + 1.30,2.25 + 1.09,1.75 + 0.83,2.25 + 1.09
