method,0,20,40,60,80,100
SmartInitialGuess,2.50 + 1.50,1.00 + 0.00,1.75 + 1.30,1.75 + 1.30,1.25 + 0.43,1.75 + 1.30
AlbaMethod,1.50 + 0.50,2.50 + 0.50,2.25 + 0.83,2.50 + 0.87,2.75 + 0.43,2.50 + 1.12
BasicActiveLearning,1.50 + 0.50,3.50 + 0.50,2.75 + 0.83,2.75 + 1.30,2.50 + 1.12,2.25 + 0.83
RandomSampling,1.50 + 0.50,2.50 + 0.87,2.50 + 0.50,2.75 + 0.83,3.00 + 0.71,2.75 + 1.30
