auc_roc,0.44982376935566903,0.4503782028434517,0.45414043008197696,0.5126727654350324,0.5016236980713635,0.5103362243079482,0.5059007564056869,0.5095837788602431,0.5129103797869391,0.501425686111441,0.5127519702190012,0.5116827056354204,0.4923963407389807,0.5003564215278603,0.4984951091045899,0.49984159043206206,0.4961981703694903,0.4993663617282484,0.4993267593362639,0.5201180151281137,0.5241178567185457,0.5218605203754306,0.5158013544018059,0.5129499821789236,0.5157617520098214,0.5229297849590115,0.521226882103679,0.5175834620411073,0.5179398835689676,0.5198407983842224,0.526890024157459,0.5281176983089778,0.5240386519345768,0.5255039404380024,0.5219793275513841,0.5235634232307631,0.5257019523979247,0.5231277969189339,0.5237614351906855,0.5226525682151202,0.5245138806383907,0.5264543978456298,0.5323551542513169,0.5318403231555185,0.5358797671379351,0.536038176705873,0.5391271632806622,0.5484733277889984,0.5471268464615262,0.5516415191477566,0.5532256148271355,0.5551661320343749,0.5563542037939091,0.5601956358164033,0.5584135281771019,0.5572254564175676,0.5609480812641083,0.5573046612015365,0.5653439467743852,0.5658191754781988,0.5646311037186647,0.5617005267118135,0.5677992950774228,0.5683933309571898,0.5879173102055365,0.587125262365847,0.584551106886856,0.5826105896796167,0.5812641083521445,0.5824917825036632,0.5807096748643619,0.5822541681517563,0.5800760365926103,0.5801948437685637,0.5782939289533088,0.5776602906815572,0.5764722189220228,0.5765910260979763,0.5769870500178211,0.5780563146014019,0.5780959169933864,0.5773038691536968,0.5774622787216348,0.577739495465526,0.5795216031048276,0.5791255791849828,0.5794820007128431,0.577897905033464,0.5775414835056039,0.5779375074254485,0.5766702308819452,0.5743336897548612,0.5737792562670785,0.5742544849708922,0.5744524969308146,0.5732248227792958,0.5753237495544731,0.5759573878262246,0.5763930141380539,0.5752049423785196,0.5793235911449052
auc_pr,0.09614399269411314,0.09625564911848437,0.09695601354788905,0.11421990924716528,0.10847135156608198,0.10967854052909998,0.10852859515955257,0.10982962297457163,0.1107786755410117,0.10875431936852292,0.11352591391067574,0.11337338897414616,0.10737688946835355,0.11018965920709353,0.10951585659246012,0.10943771857347122,0.10722278382685552,0.10804894629792271,0.10784317972352359,0.11088499179555883,0.11391443039680488,0.11386463739095243,0.11258275615904988,0.11206394864944344,0.11296998377979814,0.11392351279873945,0.112943172900888,0.11211836178545506,0.11238425743362987,0.11272036949458013,0.11481987794308238,0.115741051016512,0.11534353349796118,0.11635595900580699,0.11554960491187086,0.11611874573274096,0.1168677290237621,0.11613295576728358,0.1158746814935064,0.11598846567010059,0.116680647346046,0.11729233414375129,0.11893444306010692,0.11857450001882372,0.11926795542327986,0.11925468311292516,0.1209293170060239,0.12376612260204603,0.12470591976308437,0.12575683917993014,0.126192353291472,0.1268215968218112,0.1278513400669442,0.1291839179846737,0.12832076791350155,0.12834850523083938,0.12901094772260296,0.12779479600996213,0.12984581014858682,0.1305016614938562,0.13027622927406887,0.12953934174570492,0.1311348470685793,0.13111546616119618,0.13697878445688444,0.13629687108835467,0.13592154797200895,0.13513964231940107,0.1352617574043577,0.13644546696201224,0.1365507626234253,0.1367952932527169,0.13622372295094123,0.1358630661748274,0.1355743019337859,0.13525655591232102,0.13508735969423658,0.13509137834264495,0.13516641328674342,0.13550322487619626,0.1355771110050485,0.13556417324027561,0.1358089701633745,0.13571056838493373,0.1375968808065116,0.13742602883634275,0.13726630047760943,0.13674255762648524,0.1367338000726318,0.1368741486026226,0.13643089991304858,0.13543710946581283,0.13541965574174755,0.1353516826238016,0.13515104559972616,0.13447449365573694,0.1358003798430294,0.13669319356624168,0.13678019787010628,0.1364516632325012,0.13935840941165414
auc_roc_bag,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666667,0.6666666666666667,0.625,0.6666666666666667,0.6666666666666667,0.625,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.875,0.875,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666667,0.875,0.9166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334
auc_pr_bag,0.39940476190476193,0.39940476190476193,0.39940476190476193,0.5279761904761905,0.6005952380952381,0.6005952380952381,0.5827380952380953,0.6077380952380953,0.6077380952380953,0.4172619047619047,0.4380952380952381,0.4380952380952381,0.4625,0.4625,0.42023809523809524,0.4625,0.44166666666666665,0.4625,0.4625,0.4625,0.65,0.65,0.65,0.65,0.6916666666666667,0.73125,0.73125,0.73125,0.73125,0.73125,0.7666666666666666,0.7666666666666666,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.8708333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8708333333333333,0.8708333333333333,0.94375,0.94375,0.94375,0.94375,0.9083333333333333,0.8354166666666667,0.8708333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94375
Date,2024-05-26
Time,75.31192708015442
seed,6
Number of anomalous bags,4
Number of anomalies,57
Rewards bag 0,3.457933609264491e-07,1.1691056455388055e-06,8.797545970805479e-06,3.041388818207446e-06,3.0196967204243928e-06,1.7634460339495243e-06,1.2387762825877172e-06,9.439062871563498e-07,3.741152510368533e-06,1.806551911587888e-06,1.2527043789493053e-06,1.2847564340812365e-06,2.7804090161915495e-06,6.693989611700916e-07,1.3779231031411242e-06,1.0332511294885245e-06,1.1777612142949058e-06,8.1140534350387e-07,4.2562423697601975e-06,1.7665101838351086e-06,7.282768525672597e-07,7.803525183677179e-07,2.5077996421955496e-07,6.051685673438783e-07,1.96279264058009e-06,1.1917796595730919e-07,6.652094249088819e-07,4.6566014815933437e-07,3.188187609453404e-07,7.425388721692069e-07,3.913736399780594e-07,7.81825964709182e-07,1.2560936694191334e-07,7.281775584266415e-07,1.606839299974801e-07,4.109589882648078e-07,5.772729977151932e-07,6.071575149610592e-07,3.7183126532343275e-07,9.802859332540411e-07,2.361423599932805e-07,8.264997445921689e-07,4.842868558987962e-07,4.548243764367563e-07,5.770776114250577e-07,4.196886489932593e-07,1.7675099691414095e-06,2.0447026452438157e-06,2.0237977266956754e-07,4.6234333439172936e-07,1.1477991257144491e-07,6.443266542419348e-07,1.6923400585574702e-07,4.1167127985701466e-07,3.828710659767893e-07,2.611322418670144e-07,7.294582534752539e-07,1.8811675549294013e-06,3.8166365146631954e-07,5.017031566069721e-07,4.0733665959099235e-07,2.009472684700198e-06,4.934768978156313e-07,1.0379356384261426e-06,3.62270865331749e-07,4.00191799592336e-07,2.2751591149904675e-07,2.882937845539246e-07,1.0447659812665402e-07,2.6412685211058585e-07,1.1543669033761867e-07,3.0275518895665707e-07,3.2509288792977525e-07,2.635913380389537e-07,5.896294531384478e-07,2.0151546071908406e-07,8.06116777938151e-08,1.6565711527982367e-07,1.0455258837825292e-07,1.5091476906700767e-07,3.3289158249990067e-07,2.635017913162542e-07,3.3427365228821964e-07,6.281869043791807e-07,1.0532217616089998e-07,2.543728299194889e-07,2.9356547542197477e-07,1.0222739686551072e-07,1.672175338655446e-07,2.634466508628882e-07,2.5755365930451926e-07,6.983059356996734e-08,3.539286152704056e-07,2.9168506147818765e-07,3.8689412028134714e-07,3.46095670491727e-07,1.1854491382720217e-07,1.2328970566388704e-07,1.7079529308787508e-07,5.939883823870843e-07
Prob contr bag 0,0.003457933609264872,0.011691056455389343,0.08797545970806447,0.03041388818207781,0.030196967204247253,0.017634460339497185,0.012387762825878538,0.009439062871564537,0.037411525103689454,0.01806551911588087,0.012527043789494433,0.01284756434081378,0.02780409016191856,0.006693989611701653,0.013779231031412759,0.010332511294886383,0.011777612142950356,0.008114053435039594,0.04256242369760666,0.017665101838353032,0.007282768525673399,0.0078035251836780384,0.002507799642195826,0.006051685673439449,0.019627926405803065,0.001191779659573223,0.006652094249089552,0.004656601481593857,0.003188187609453755,0.007425388721692887,0.003913736399781025,0.00781825964709268,0.0012560936694192718,0.007281775584267217,0.001606839299974978,0.004109589882648531,0.005772729977152567,0.006071575149611261,0.003718312653234737,0.009802859332541491,0.002361423599933065,0.008264997445922599,0.004842868558988495,0.004548243764368064,0.005770776114251213,0.004196886489933055,0.017675099691416042,0.020447026452440408,0.0020237977266958983,0.004623433343917803,0.0011477991257145756,0.006443266542420057,0.0016923400585576566,0.0041167127985706,0.0038287106597683146,0.0026113224186704313,0.007294582534753342,0.018811675549296084,0.003816636514663616,0.005017031566070273,0.004073366595910372,0.020094726847004193,0.004934768978156857,0.010379356384262569,0.003622708653317889,0.004001917995923801,0.002275159114990718,0.0028829378455395636,0.0010447659812666552,0.0026412685211061496,0.0011543669033763138,0.0030275518895669044,0.0032509288792981106,0.0026359133803898274,0.005896294531385128,0.0020151546071910625,0.0008061167779382397,0.0016565711527984192,0.0010455258837826443,0.001509147690670243,0.003328915824999373,0.002635017913162832,0.0033427365228825647,0.006281869043792499,0.0010532217616091159,0.002543728299195169,0.0029356547542200707,0.0010222739686552198,0.0016721753386556302,0.0026344665086291724,0.0025755365930454762,0.0006983059356997503,0.0035392861527044454,0.0029168506147821977,0.0038689412028138975,0.003460956704917651,0.0011854491382721523,0.0012328970566390061,0.001707952930878939,0.005939883823871497
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
