method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.75 + 0.07,0.75 + 0.21,0.57 + 0.15,0.64 + 0.17,0.71 + 0.21,0.64 + 0.17,0.64 + 0.21,0.68 + 0.19,0.63 + 0.19,0.84 + 0.18,0.72 + 0.19
AlbaMethod,0.36 + 0.16,0.77 + 0.12,0.86 + 0.11,0.86 + 0.11,0.90 + 0.08,0.91 + 0.08,0.93 + 0.06,0.93 + 0.07,0.92 + 0.07,0.92 + 0.06,0.93 + 0.07
BasicActiveLearning,0.36 + 0.16,0.71 + 0.18,0.82 + 0.11,0.92 + 0.06,0.88 + 0.07,0.88 + 0.10,0.90 + 0.10,0.92 + 0.09,0.88 + 0.10,0.91 + 0.08,0.91 + 0.08
RandomSampling,0.36 + 0.16,0.59 + 0.15,0.78 + 0.17,0.82 + 0.15,0.88 + 0.08,0.88 + 0.13,0.87 + 0.12,0.91 + 0.11,0.92 + 0.11,0.92 + 0.09,0.92 + 0.09
