method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.79 + 0.13,0.54 + 0.05,0.53 + 0.07,0.50 + 0.00,0.58 + 0.10,0.52 + 0.03,0.54 + 0.09,0.63 + 0.17,0.58 + 0.16,0.57 + 0.08,0.51 + 0.03
AlbaMethod,0.64 + 0.30,0.77 + 0.27,0.72 + 0.16,0.75 + 0.17,0.83 + 0.20,0.82 + 0.19,0.80 + 0.18,0.78 + 0.17,0.80 + 0.19,0.80 + 0.19,0.81 + 0.20
BasicActiveLearning,0.64 + 0.30,0.69 + 0.25,0.81 + 0.14,0.79 + 0.17,0.88 + 0.11,0.82 + 0.25,0.88 + 0.17,0.92 + 0.13,0.89 + 0.17,0.86 + 0.21,0.90 + 0.17
RandomSampling,0.64 + 0.30,0.66 + 0.29,0.75 + 0.22,0.74 + 0.18,0.75 + 0.16,0.73 + 0.12,0.75 + 0.11,0.78 + 0.14,0.81 + 0.11,0.80 + 0.14,0.84 + 0.15
