method,0,20,40,60,80,100
SmartInitialGuess,0.15 + 0.10,0.53 + 0.21,0.68 + 0.16,0.73 + 0.13,0.65 + 0.09,0.69 + 0.18
AlbaMethod,0.61 + 0.28,0.72 + 0.14,0.84 + 0.18,0.80 + 0.17,0.81 + 0.17,0.82 + 0.18
BasicActiveLearning,0.61 + 0.28,0.80 + 0.13,0.88 + 0.10,0.90 + 0.16,0.90 + 0.16,0.90 + 0.16
RandomSampling,0.61 + 0.28,0.72 + 0.21,0.72 + 0.16,0.74 + 0.10,0.80 + 0.10,0.84 + 0.13
