method,0,20,40,60,80,100
SmartInitialGuess,0.43 + 0.00,0.71 + 0.00,0.50 + 0.00,0.64 + 0.00,0.86 + 0.00,0.79 + 0.00
AlbaMethod,0.29 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00
BasicActiveLearning,0.29 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00
RandomSampling,0.29 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00
