method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.67 + 0.20,0.52 + 0.05,0.50 + 0.00,0.55 + 0.10,0.53 + 0.04,0.53 + 0.07,0.54 + 0.05,0.61 + 0.20,0.55 + 0.05,0.62 + 0.19,0.54 + 0.05
AlbaMethod,0.56 + 0.19,0.78 + 0.14,0.92 + 0.11,0.93 + 0.09,0.95 + 0.07,0.95 + 0.06,0.98 + 0.05,0.99 + 0.02,0.99 + 0.02,0.99 + 0.02,0.99 + 0.02
BasicActiveLearning,0.56 + 0.19,0.84 + 0.17,0.96 + 0.05,0.97 + 0.04,0.98 + 0.03,1.00 + 0.00,0.98 + 0.03,1.00 + 0.00,1.00 + 0.00,0.99 + 0.02,1.00 + 0.00
RandomSampling,0.56 + 0.19,0.84 + 0.11,0.89 + 0.11,0.93 + 0.08,0.93 + 0.08,0.99 + 0.02,0.99 + 0.02,0.99 + 0.02,0.99 + 0.02,0.99 + 0.02,1.00 + 0.00
