method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.52 + 0.17,0.62 + 0.13,0.55 + 0.07,0.52 + 0.03,0.57 + 0.10,0.61 + 0.13,0.55 + 0.07,0.63 + 0.16,0.59 + 0.18,0.57 + 0.10,0.59 + 0.18
AlbaMethod,0.54 + 0.22,0.51 + 0.24,0.52 + 0.24,0.52 + 0.21,0.48 + 0.28,0.47 + 0.20,0.49 + 0.19,0.49 + 0.23,0.52 + 0.27,0.54 + 0.28,0.59 + 0.25
BasicActiveLearning,0.54 + 0.22,0.60 + 0.18,0.57 + 0.18,0.62 + 0.23,0.67 + 0.21,0.74 + 0.22,0.68 + 0.18,0.66 + 0.18,0.63 + 0.15,0.62 + 0.15,0.61 + 0.13
RandomSampling,0.54 + 0.22,0.62 + 0.16,0.60 + 0.20,0.65 + 0.18,0.65 + 0.20,0.68 + 0.22,0.66 + 0.23,0.68 + 0.26,0.72 + 0.24,0.72 + 0.26,0.75 + 0.24
