method,0,20,40,60,80,100
SmartInitialGuess,0.27 + 0.12,0.71 + 0.12,0.84 + 0.09,0.83 + 0.09,0.74 + 0.08,0.84 + 0.08
AlbaMethod,0.55 + 0.18,0.69 + 0.13,0.73 + 0.17,0.66 + 0.18,0.64 + 0.16,0.61 + 0.14
BasicActiveLearning,0.55 + 0.18,0.63 + 0.13,0.84 + 0.14,0.85 + 0.09,0.80 + 0.08,0.82 + 0.09
RandomSampling,0.55 + 0.18,0.58 + 0.18,0.64 + 0.17,0.65 + 0.24,0.66 + 0.26,0.65 + 0.27
