method,0,20,40,60,80,100
SmartInitialGuess,0.57 + 0.16,0.62 + 0.17,0.52 + 0.03,0.64 + 0.23,0.53 + 0.05,0.65 + 0.14
AlbaMethod,0.50 + 0.23,0.53 + 0.25,0.60 + 0.22,0.64 + 0.11,0.65 + 0.06,0.68 + 0.09
BasicActiveLearning,0.50 + 0.23,0.57 + 0.18,0.60 + 0.16,0.59 + 0.24,0.61 + 0.23,0.68 + 0.23
RandomSampling,0.50 + 0.23,0.53 + 0.13,0.55 + 0.06,0.58 + 0.11,0.68 + 0.11,0.68 + 0.11
