method,0,20,40,60,80,100
SmartInitialGuess,0.40 + 0.14,0.54 + 0.07,0.57 + 0.13,0.68 + 0.15,0.61 + 0.09,0.61 + 0.13
AlbaMethod,0.43 + 0.29,0.42 + 0.23,0.56 + 0.25,0.50 + 0.29,0.60 + 0.22,0.57 + 0.23
BasicActiveLearning,0.43 + 0.29,0.47 + 0.19,0.52 + 0.24,0.54 + 0.27,0.54 + 0.21,0.48 + 0.23
RandomSampling,0.43 + 0.29,0.35 + 0.21,0.39 + 0.29,0.49 + 0.29,0.54 + 0.25,0.56 + 0.29
