method,0,20,40,60,80,100
SmartInitialGuess,0.61 + 0.00,0.61 + 0.00,0.64 + 0.00,0.68 + 0.00,0.69 + 0.00,0.77 + 0.00
AlbaMethod,0.46 + 0.00,0.67 + 0.00,0.65 + 0.00,0.63 + 0.00,0.62 + 0.00,0.59 + 0.00
BasicActiveLearning,0.46 + 0.00,0.53 + 0.00,0.67 + 0.00,0.71 + 0.00,0.68 + 0.00,0.66 + 0.00
RandomSampling,0.46 + 0.00,0.45 + 0.00,0.47 + 0.00,0.51 + 0.00,0.55 + 0.00,0.64 + 0.00
