method,0,20,40,60,80,100
SmartInitialGuess,0.54 + 0.06,0.58 + 0.08,0.72 + 0.14,0.72 + 0.14,0.77 + 0.08,0.78 + 0.08
AlbaMethod,0.50 + 0.04,0.83 + 0.02,0.85 + 0.02,0.87 + 0.04,0.82 + 0.08,0.81 + 0.09
BasicActiveLearning,0.50 + 0.04,0.74 + 0.07,0.86 + 0.05,0.90 + 0.02,0.90 + 0.03,0.93 + 0.02
RandomSampling,0.50 + 0.04,0.66 + 0.07,0.71 + 0.12,0.74 + 0.12,0.86 + 0.06,0.88 + 0.05
