method,0,20,40,60,80,100
SmartInitialGuess,0.44 + 0.09,0.57 + 0.07,0.61 + 0.07,0.63 + 0.05,0.67 + 0.04,0.66 + 0.04
AlbaMethod,0.45 + 0.02,0.45 + 0.03,0.46 + 0.03,0.46 + 0.02,0.47 + 0.03,0.48 + 0.04
BasicActiveLearning,0.45 + 0.02,0.48 + 0.01,0.49 + 0.02,0.49 + 0.04,0.49 + 0.05,0.49 + 0.04
RandomSampling,0.45 + 0.02,0.49 + 0.03,0.49 + 0.04,0.52 + 0.01,0.55 + 0.01,0.57 + 0.03
