method,0,20,40,60,80,100
SmartInitialGuess,0.50 + 0.06,0.55 + 0.05,0.52 + 0.06,0.52 + 0.10,0.54 + 0.06,0.61 + 0.06
AlbaMethod,0.46 + 0.03,0.50 + 0.03,0.50 + 0.03,0.48 + 0.04,0.50 + 0.02,0.50 + 0.04
BasicActiveLearning,0.46 + 0.03,0.47 + 0.03,0.49 + 0.02,0.48 + 0.05,0.47 + 0.04,0.49 + 0.03
RandomSampling,0.46 + 0.03,0.53 + 0.03,0.53 + 0.01,0.55 + 0.01,0.56 + 0.02,0.59 + 0.02
