method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.44 + 0.14,0.61 + 0.05,0.74 + 0.07,0.69 + 0.08,0.70 + 0.04,0.79 + 0.03,0.77 + 0.02,0.79 + 0.03,0.79 + 0.08,0.85 + 0.05,0.86 + 0.05
AlbaMethod,0.45 + 0.14,0.53 + 0.19,0.60 + 0.17,0.61 + 0.17,0.62 + 0.19,0.64 + 0.18,0.66 + 0.19,0.68 + 0.19,0.69 + 0.19,0.71 + 0.20,0.72 + 0.20
BasicActiveLearning,0.45 + 0.14,0.50 + 0.17,0.55 + 0.17,0.57 + 0.17,0.64 + 0.15,0.66 + 0.14,0.67 + 0.16,0.70 + 0.17,0.71 + 0.16,0.71 + 0.19,0.70 + 0.20
RandomSampling,0.45 + 0.14,0.52 + 0.18,0.57 + 0.21,0.61 + 0.21,0.63 + 0.20,0.65 + 0.20,0.66 + 0.19,0.69 + 0.20,0.71 + 0.20,0.71 + 0.20,0.73 + 0.20
