method,0,20,40,60,80,100
SmartInitialGuess,0.46 + 0.03,0.50 + 0.03,0.51 + 0.05,0.55 + 0.06,0.52 + 0.10,0.57 + 0.08
AlbaMethod,0.42 + 0.06,0.44 + 0.05,0.47 + 0.05,0.45 + 0.05,0.48 + 0.06,0.50 + 0.08
BasicActiveLearning,0.42 + 0.06,0.44 + 0.06,0.46 + 0.06,0.46 + 0.07,0.48 + 0.09,0.47 + 0.07
RandomSampling,0.42 + 0.06,0.48 + 0.04,0.49 + 0.05,0.54 + 0.04,0.56 + 0.05,0.58 + 0.02
