method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.58 + 0.06,0.73 + 0.08,0.74 + 0.12,0.78 + 0.10,0.83 + 0.03,0.78 + 0.06,0.80 + 0.07,0.77 + 0.09,0.84 + 0.09,0.78 + 0.14,0.80 + 0.14
AlbaMethod,0.60 + 0.08,0.75 + 0.04,0.80 + 0.05,0.84 + 0.07,0.85 + 0.06,0.90 + 0.04,0.94 + 0.03,0.94 + 0.03,0.94 + 0.03,0.95 + 0.03,0.95 + 0.04
BasicActiveLearning,0.60 + 0.08,0.82 + 0.03,0.90 + 0.02,0.93 + 0.04,0.96 + 0.03,0.98 + 0.02,0.98 + 0.02,0.98 + 0.02,0.99 + 0.02,0.99 + 0.02,1.00 + 0.01
RandomSampling,0.60 + 0.08,0.76 + 0.05,0.85 + 0.08,0.87 + 0.10,0.87 + 0.09,0.89 + 0.10,0.89 + 0.09,0.92 + 0.05,0.93 + 0.05,0.93 + 0.05,0.94 + 0.05
