method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.66 + 0.06,0.64 + 0.11,0.65 + 0.04,0.69 + 0.07,0.71 + 0.05,0.75 + 0.11,0.73 + 0.03,0.70 + 0.09,0.70 + 0.08,0.73 + 0.08,0.76 + 0.10
AlbaMethod,0.50 + 0.04,0.76 + 0.11,0.83 + 0.02,0.84 + 0.01,0.85 + 0.02,0.87 + 0.02,0.88 + 0.03,0.86 + 0.06,0.84 + 0.07,0.82 + 0.08,0.83 + 0.08
BasicActiveLearning,0.50 + 0.04,0.54 + 0.06,0.75 + 0.07,0.83 + 0.05,0.86 + 0.05,0.88 + 0.03,0.90 + 0.02,0.91 + 0.03,0.91 + 0.03,0.92 + 0.03,0.93 + 0.02
RandomSampling,0.50 + 0.04,0.65 + 0.08,0.68 + 0.07,0.72 + 0.11,0.74 + 0.11,0.75 + 0.12,0.77 + 0.11,0.84 + 0.06,0.86 + 0.06,0.87 + 0.06,0.88 + 0.06
