method,0,20,40,60,80,100
SmartInitialGuess,0.48 + 0.20,0.62 + 0.17,0.46 + 0.21,0.59 + 0.34,0.59 + 0.24,0.72 + 0.21
AlbaMethod,0.67 + 0.20,0.71 + 0.10,0.62 + 0.11,0.64 + 0.05,0.61 + 0.11,0.66 + 0.07
BasicActiveLearning,0.67 + 0.20,0.72 + 0.22,0.70 + 0.22,0.68 + 0.12,0.69 + 0.18,0.70 + 0.13
RandomSampling,0.67 + 0.20,0.73 + 0.13,0.75 + 0.12,0.76 + 0.15,0.80 + 0.15,0.77 + 0.11
SmartInitialGuess,1.75 + 1.30,1.50 + 0.50,1.75 + 1.30,1.75 + 1.30,1.50 + 0.50,1.25 + 0.43
AlbaMethod,1.75 + 0.43,3.00 + 0.71,3.50 + 0.50,3.25 + 0.83,3.00 + 0.00,3.50 + 0.50
BasicActiveLearning,1.75 + 0.43,3.75 + 0.43,3.00 + 0.71,3.25 + 0.43,4.00 + 0.00,3.50 + 0.50
RandomSampling,1.75 + 0.43,1.75 + 0.83,1.75 + 0.43,1.75 + 0.43,1.50 + 0.50,1.75 + 0.43
