method,0,20,40,60,80,100
SmartInitialGuess,0.26 + 0.15,0.61 + 0.10,0.78 + 0.13,0.79 + 0.18,0.82 + 0.10,0.93 + 0.06
AlbaMethod,0.49 + 0.15,0.77 + 0.07,0.88 + 0.11,0.89 + 0.07,0.83 + 0.12,0.76 + 0.13
BasicActiveLearning,0.49 + 0.15,0.85 + 0.10,0.85 + 0.11,0.88 + 0.12,0.92 + 0.09,0.88 + 0.13
RandomSampling,0.49 + 0.15,0.64 + 0.20,0.70 + 0.23,0.71 + 0.17,0.73 + 0.22,0.78 + 0.19
