method,0,20,40,60,80,100
SmartInitialGuess,0.51 + 0.25,0.91 + 0.05,0.67 + 0.25,0.84 + 0.19,0.84 + 0.06,0.90 + 0.10
AlbaMethod,0.47 + 0.10,0.54 + 0.12,0.57 + 0.14,0.56 + 0.14,0.61 + 0.14,0.64 + 0.16
BasicActiveLearning,0.47 + 0.10,0.50 + 0.13,0.52 + 0.15,0.53 + 0.15,0.61 + 0.17,0.66 + 0.14
RandomSampling,0.47 + 0.10,0.56 + 0.21,0.57 + 0.15,0.54 + 0.18,0.57 + 0.22,0.61 + 0.22
SmartInitialGuess,2.50 + 1.50,1.00 + 0.00,1.75 + 1.30,1.75 + 1.30,1.25 + 0.43,1.75 + 1.30
AlbaMethod,1.50 + 0.50,2.50 + 0.50,2.25 + 0.83,2.50 + 0.87,2.75 + 0.43,2.50 + 1.12
BasicActiveLearning,1.50 + 0.50,3.50 + 0.50,2.75 + 0.83,2.75 + 1.30,2.50 + 1.12,2.25 + 0.83
RandomSampling,1.50 + 0.50,2.50 + 0.87,2.50 + 0.50,2.75 + 0.83,3.00 + 0.71,2.75 + 1.30
