method,0,20,40,60,80,100
SmartInitialGuess,0.52 + 0.11,0.62 + 0.20,0.63 + 0.26,0.53 + 0.10,0.69 + 0.06,0.70 + 0.20
AlbaMethod,0.63 + 0.05,0.69 + 0.08,0.66 + 0.10,0.64 + 0.19,0.62 + 0.21,0.67 + 0.22
BasicActiveLearning,0.63 + 0.05,0.58 + 0.10,0.70 + 0.14,0.66 + 0.12,0.64 + 0.16,0.66 + 0.17
RandomSampling,0.63 + 0.05,0.61 + 0.26,0.57 + 0.28,0.61 + 0.27,0.56 + 0.27,0.59 + 0.28
