method,0,20,40,60,80,100
SmartInitialGuess,0.57 + 0.16,0.62 + 0.17,0.52 + 0.03,0.64 + 0.23,0.53 + 0.05,0.65 + 0.14
AlbaMethod,0.50 + 0.23,0.53 + 0.25,0.60 + 0.22,0.64 + 0.11,0.65 + 0.06,0.68 + 0.09
BasicActiveLearning,0.50 + 0.23,0.57 + 0.18,0.60 + 0.16,0.59 + 0.24,0.61 + 0.23,0.68 + 0.23
RandomSampling,0.50 + 0.23,0.53 + 0.13,0.55 + 0.06,0.58 + 0.11,0.68 + 0.11,0.68 + 0.11
SmartInitialGuess,1.75 + 1.30,2.25 + 1.30,3.25 + 0.83,1.75 + 0.83,3.25 + 1.30,3.00 + 1.22
AlbaMethod,1.75 + 0.43,2.50 + 0.87,2.00 + 1.22,2.25 + 1.09,2.50 + 0.50,2.25 + 0.83
BasicActiveLearning,1.75 + 0.43,2.50 + 0.87,1.75 + 0.83,2.75 + 1.09,2.25 + 1.30,2.50 + 1.12
RandomSampling,1.75 + 0.43,2.25 + 1.09,2.25 + 1.30,2.25 + 1.09,1.75 + 0.83,2.25 + 1.09
