method,0,20,40,60,80,100
SmartInitialGuess,0.38 + 0.00,1.00 + 0.00,0.50 + 0.00,0.50 + 0.00,0.50 + 0.00,0.50 + 0.00
AlbaMethod,0.67 + 0.00,0.62 + 0.00,0.71 + 0.00,0.71 + 0.00,0.76 + 0.00,0.76 + 0.00
BasicActiveLearning,0.67 + 0.00,0.67 + 0.00,0.90 + 0.00,0.95 + 0.00,1.00 + 0.00,1.00 + 0.00
RandomSampling,0.67 + 0.00,0.67 + 0.00,0.76 + 0.00,0.76 + 0.00,0.76 + 0.00,0.76 + 0.00
