method,0,20,40,60,80,100
SmartInitialGuess,0.50 + 0.00,0.50 + 0.00,0.50 + 0.00,0.50 + 0.00,0.94 + 0.00,0.50 + 0.00
AlbaMethod,0.62 + 0.00,0.56 + 0.00,0.31 + 0.00,0.44 + 0.00,0.44 + 0.00,0.56 + 0.00
BasicActiveLearning,0.62 + 0.00,0.69 + 0.00,0.94 + 0.00,0.94 + 0.00,0.81 + 0.00,0.81 + 0.00
RandomSampling,0.62 + 0.00,0.62 + 0.00,0.75 + 0.00,0.88 + 0.00,1.00 + 0.00,1.00 + 0.00
