method,0,20,40,60,80,100
SmartInitialGuess,0.24 + 0.11,0.76 + 0.09,0.85 + 0.11,0.88 + 0.08,0.89 + 0.08,0.90 + 0.11
AlbaMethod,0.39 + 0.16,0.87 + 0.11,0.92 + 0.08,0.94 + 0.06,0.94 + 0.07,0.94 + 0.07
BasicActiveLearning,0.39 + 0.16,0.81 + 0.10,0.90 + 0.07,0.91 + 0.09,0.88 + 0.09,0.90 + 0.07
RandomSampling,0.39 + 0.16,0.79 + 0.15,0.89 + 0.07,0.89 + 0.12,0.93 + 0.10,0.94 + 0.09
