method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.42 + 0.18,0.50 + 0.00,0.48 + 0.03,0.56 + 0.14,0.57 + 0.15,0.60 + 0.14,0.53 + 0.03,0.50 + 0.00,0.58 + 0.10,0.53 + 0.06,0.52 + 0.05
AlbaMethod,0.58 + 0.15,0.57 + 0.25,0.56 + 0.30,0.58 + 0.29,0.59 + 0.28,0.66 + 0.20,0.64 + 0.21,0.61 + 0.21,0.67 + 0.19,0.69 + 0.18,0.71 + 0.16
BasicActiveLearning,0.58 + 0.15,0.64 + 0.22,0.63 + 0.31,0.65 + 0.31,0.76 + 0.23,0.83 + 0.17,0.86 + 0.17,0.88 + 0.16,0.92 + 0.08,0.94 + 0.06,0.94 + 0.08
RandomSampling,0.58 + 0.15,0.66 + 0.26,0.64 + 0.24,0.74 + 0.21,0.75 + 0.19,0.76 + 0.21,0.79 + 0.18,0.81 + 0.19,0.88 + 0.11,0.88 + 0.11,0.88 + 0.11
