method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.72 + 0.20,0.52 + 0.04,0.53 + 0.03,0.50 + 0.00,0.53 + 0.04,0.57 + 0.12,0.58 + 0.16,0.62 + 0.07,0.57 + 0.10,0.56 + 0.10,0.63 + 0.16
AlbaMethod,0.52 + 0.16,0.69 + 0.18,0.76 + 0.07,0.84 + 0.08,0.86 + 0.10,0.86 + 0.09,0.88 + 0.07,0.86 + 0.11,0.82 + 0.13,0.80 + 0.11,0.77 + 0.14
BasicActiveLearning,0.52 + 0.16,0.74 + 0.10,0.86 + 0.11,0.80 + 0.12,0.84 + 0.12,0.86 + 0.15,0.85 + 0.12,0.92 + 0.08,0.90 + 0.09,0.89 + 0.07,0.85 + 0.12
RandomSampling,0.52 + 0.16,0.64 + 0.19,0.65 + 0.21,0.71 + 0.22,0.71 + 0.25,0.68 + 0.20,0.70 + 0.19,0.73 + 0.23,0.69 + 0.23,0.74 + 0.23,0.75 + 0.20
