method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.69 + 0.16,0.65 + 0.20,0.50 + 0.00,0.64 + 0.20,0.52 + 0.03,0.64 + 0.15,0.48 + 0.04,0.50 + 0.00,0.50 + 0.00,0.52 + 0.03,0.57 + 0.07
AlbaMethod,0.51 + 0.17,0.61 + 0.16,0.66 + 0.12,0.69 + 0.16,0.71 + 0.18,0.66 + 0.19,0.63 + 0.18,0.59 + 0.19,0.63 + 0.17,0.57 + 0.16,0.59 + 0.15
BasicActiveLearning,0.51 + 0.17,0.49 + 0.16,0.62 + 0.14,0.80 + 0.11,0.83 + 0.15,0.82 + 0.14,0.84 + 0.10,0.77 + 0.08,0.79 + 0.08,0.81 + 0.11,0.81 + 0.10
RandomSampling,0.51 + 0.17,0.49 + 0.21,0.54 + 0.16,0.59 + 0.18,0.60 + 0.17,0.58 + 0.23,0.61 + 0.24,0.61 + 0.28,0.63 + 0.27,0.63 + 0.27,0.62 + 0.28
