method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.64 + 0.16,0.51 + 0.05,0.55 + 0.11,0.62 + 0.16,0.52 + 0.05,0.52 + 0.05,0.67 + 0.18,0.66 + 0.21,0.60 + 0.20,0.68 + 0.26,0.64 + 0.12
AlbaMethod,0.62 + 0.05,0.71 + 0.10,0.70 + 0.09,0.66 + 0.10,0.65 + 0.11,0.63 + 0.18,0.62 + 0.20,0.65 + 0.25,0.61 + 0.23,0.61 + 0.22,0.66 + 0.24
BasicActiveLearning,0.62 + 0.05,0.64 + 0.10,0.57 + 0.10,0.61 + 0.07,0.68 + 0.13,0.61 + 0.14,0.64 + 0.12,0.62 + 0.14,0.62 + 0.17,0.64 + 0.17,0.64 + 0.17
RandomSampling,0.62 + 0.05,0.57 + 0.23,0.59 + 0.27,0.57 + 0.31,0.55 + 0.30,0.58 + 0.33,0.60 + 0.29,0.57 + 0.31,0.54 + 0.29,0.57 + 0.30,0.56 + 0.29
