method,0,20,40,60,80,100
SmartInitialGuess,1.75 + 1.30,1.50 + 0.50,1.75 + 1.30,1.75 + 1.30,1.50 + 0.50,1.25 + 0.43
AlbaMethod,1.75 + 0.43,3.00 + 0.71,3.50 + 0.50,3.25 + 0.83,3.00 + 0.00,3.50 + 0.50
BasicActiveLearning,1.75 + 0.43,3.75 + 0.43,3.00 + 0.71,3.25 + 0.43,4.00 + 0.00,3.50 + 0.50
RandomSampling,1.75 + 0.43,1.75 + 0.83,1.75 + 0.43,1.75 + 0.43,1.50 + 0.50,1.75 + 0.43
