method,0,20,40,60,80,100
SmartInitialGuess,2.50 + 1.50,1.50 + 0.50,1.75 + 0.43,1.75 + 0.43,2.50 + 1.12,1.75 + 0.83
AlbaMethod,1.50 + 0.50,3.25 + 0.83,3.00 + 1.22,3.25 + 0.43,3.00 + 0.71,2.75 + 1.09
BasicActiveLearning,1.50 + 0.50,3.25 + 0.43,3.25 + 0.43,3.75 + 0.43,3.25 + 0.83,3.75 + 0.43
RandomSampling,1.50 + 0.50,2.00 + 1.22,2.00 + 1.22,1.25 + 0.43,1.25 + 0.43,1.75 + 0.43
