method,0,20,40,60,80,100
SmartInitialGuess,3.75 + 0.83,2.00 + 1.22,2.00 + 1.22,1.83 + 1.07,1.33 + 0.75,1.75 + 0.72
AlbaMethod,1.08 + 0.28,2.50 + 0.76,2.92 + 0.95,2.67 + 0.94,3.58 + 0.76,3.50 + 0.87
BasicActiveLearning,1.08 + 0.28,3.00 + 1.22,2.50 + 1.19,2.25 + 1.09,2.17 + 0.80,2.17 + 1.28
RandomSampling,1.08 + 0.28,2.50 + 0.96,2.58 + 0.86,3.25 + 0.83,2.92 + 0.64,2.58 + 0.64
