method,0,20,40,60,80,100
SmartInitialGuess,1.75 + 1.30,1.00 + 0.00,1.50 + 0.87,1.25 + 0.43,2.25 + 1.09,1.50 + 0.50
AlbaMethod,1.75 + 0.43,2.75 + 0.83,3.00 + 1.00,3.00 + 0.71,2.75 + 0.43,3.00 + 0.71
BasicActiveLearning,1.75 + 0.43,2.75 + 0.43,2.75 + 0.43,3.75 + 0.43,3.25 + 0.83,3.50 + 0.50
RandomSampling,1.75 + 0.43,3.50 + 0.87,2.75 + 1.30,2.00 + 0.71,1.75 + 1.30,2.00 + 1.22
