method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.51 + 0.06,0.61 + 0.04,0.57 + 0.03,0.62 + 0.05,0.63 + 0.07,0.68 + 0.08,0.68 + 0.04,0.68 + 0.09,0.68 + 0.06,0.71 + 0.06,0.70 + 0.07
AlbaMethod,0.55 + 0.01,0.63 + 0.04,0.65 + 0.03,0.66 + 0.03,0.68 + 0.05,0.70 + 0.06,0.69 + 0.08,0.67 + 0.08,0.67 + 0.10,0.66 + 0.10,0.64 + 0.10
BasicActiveLearning,0.55 + 0.01,0.62 + 0.02,0.65 + 0.05,0.68 + 0.05,0.73 + 0.08,0.77 + 0.06,0.77 + 0.07,0.79 + 0.05,0.83 + 0.04,0.85 + 0.04,0.88 + 0.03
RandomSampling,0.55 + 0.01,0.56 + 0.04,0.63 + 0.04,0.68 + 0.02,0.70 + 0.01,0.70 + 0.01,0.73 + 0.03,0.74 + 0.03,0.75 + 0.02,0.77 + 0.03,0.77 + 0.03
