method,0,20,40,60,80,100
SmartInitialGuess,0.38 + 0.14,0.69 + 0.09,0.68 + 0.08,0.77 + 0.02,0.81 + 0.04,0.83 + 0.04
AlbaMethod,0.55 + 0.01,0.65 + 0.03,0.69 + 0.06,0.70 + 0.07,0.68 + 0.09,0.65 + 0.09
BasicActiveLearning,0.55 + 0.01,0.65 + 0.05,0.73 + 0.07,0.78 + 0.06,0.82 + 0.04,0.89 + 0.03
RandomSampling,0.55 + 0.01,0.63 + 0.04,0.70 + 0.02,0.73 + 0.03,0.75 + 0.02,0.78 + 0.03
