method,0,20,40,60,80,100
SmartInitialGuess,0.50 + 0.06,0.55 + 0.05,0.52 + 0.06,0.52 + 0.10,0.54 + 0.06,0.61 + 0.06
AlbaMethod,0.46 + 0.03,0.50 + 0.03,0.50 + 0.03,0.48 + 0.04,0.50 + 0.02,0.50 + 0.04
BasicActiveLearning,0.46 + 0.03,0.47 + 0.03,0.49 + 0.02,0.48 + 0.05,0.47 + 0.04,0.49 + 0.03
RandomSampling,0.46 + 0.03,0.53 + 0.03,0.53 + 0.01,0.55 + 0.01,0.56 + 0.02,0.59 + 0.02
SmartInitialGuess,1.75 + 1.30,1.50 + 0.50,1.75 + 1.30,1.75 + 1.30,1.50 + 0.50,1.25 + 0.43
AlbaMethod,1.75 + 0.43,3.00 + 0.71,3.50 + 0.50,3.25 + 0.83,3.00 + 0.00,3.50 + 0.50
BasicActiveLearning,1.75 + 0.43,3.75 + 0.43,3.00 + 0.71,3.25 + 0.43,4.00 + 0.00,3.50 + 0.50
RandomSampling,1.75 + 0.43,1.75 + 0.83,1.75 + 0.43,1.75 + 0.43,1.50 + 0.50,1.75 + 0.43
