method,0,20,40,60,80,100
SmartInitialGuess,0.44 + 0.09,0.57 + 0.02,0.58 + 0.07,0.55 + 0.05,0.53 + 0.08,0.59 + 0.09
AlbaMethod,0.43 + 0.01,0.45 + 0.02,0.46 + 0.03,0.48 + 0.03,0.49 + 0.01,0.49 + 0.02
BasicActiveLearning,0.43 + 0.01,0.45 + 0.01,0.46 + 0.01,0.46 + 0.02,0.47 + 0.02,0.47 + 0.02
RandomSampling,0.43 + 0.01,0.45 + 0.03,0.47 + 0.04,0.50 + 0.02,0.53 + 0.05,0.53 + 0.04
SmartInitialGuess,1.75 + 1.30,1.00 + 0.00,1.50 + 0.87,1.25 + 0.43,2.25 + 1.09,1.50 + 0.50
AlbaMethod,1.75 + 0.43,2.75 + 0.83,3.00 + 1.00,3.00 + 0.71,2.75 + 0.43,3.00 + 0.71
BasicActiveLearning,1.75 + 0.43,2.75 + 0.43,2.75 + 0.43,3.75 + 0.43,3.25 + 0.83,3.50 + 0.50
RandomSampling,1.75 + 0.43,3.50 + 0.87,2.75 + 1.30,2.00 + 0.71,1.75 + 1.30,2.00 + 1.22
