method,0,20,40,60,80,100
SmartInitialGuess,0.44 + 0.09,0.57 + 0.07,0.61 + 0.07,0.63 + 0.05,0.67 + 0.04,0.66 + 0.04
AlbaMethod,0.45 + 0.02,0.45 + 0.03,0.46 + 0.03,0.46 + 0.02,0.47 + 0.03,0.48 + 0.04
BasicActiveLearning,0.45 + 0.02,0.48 + 0.01,0.49 + 0.02,0.49 + 0.04,0.49 + 0.05,0.49 + 0.04
RandomSampling,0.45 + 0.02,0.49 + 0.03,0.49 + 0.04,0.52 + 0.01,0.55 + 0.01,0.57 + 0.03
SmartInitialGuess,2.50 + 1.50,1.50 + 0.87,1.75 + 1.30,1.00 + 0.00,1.00 + 0.00,1.25 + 0.43
AlbaMethod,1.50 + 0.50,3.25 + 1.30,3.25 + 0.83,3.75 + 0.43,3.75 + 0.43,3.75 + 0.43
BasicActiveLearning,1.50 + 0.50,2.75 + 0.83,2.50 + 1.12,3.00 + 0.71,3.25 + 0.43,3.00 + 0.71
RandomSampling,1.50 + 0.50,2.50 + 0.50,2.50 + 0.50,2.25 + 0.43,2.00 + 0.00,2.00 + 0.71
