method,0,20,40,60,80,100
SmartInitialGuess,0.56 + 0.04,0.81 + 0.07,0.85 + 0.06,0.82 + 0.05,0.88 + 0.08,0.94 + 0.02
AlbaMethod,0.41 + 0.05,0.88 + 0.03,0.93 + 0.03,0.95 + 0.02,0.97 + 0.01,0.98 + 0.01
BasicActiveLearning,0.41 + 0.05,0.81 + 0.05,0.97 + 0.03,0.98 + 0.02,0.98 + 0.02,0.99 + 0.02
RandomSampling,0.41 + 0.05,0.82 + 0.05,0.92 + 0.06,0.94 + 0.03,0.97 + 0.02,0.98 + 0.01
