method,0,20,40,60,80,100
SmartInitialGuess,0.32 + 0.05,0.53 + 0.05,0.64 + 0.10,0.63 + 0.04,0.63 + 0.05,0.64 + 0.05
AlbaMethod,0.38 + 0.05,0.55 + 0.08,0.63 + 0.05,0.69 + 0.06,0.71 + 0.07,0.69 + 0.08
BasicActiveLearning,0.38 + 0.05,0.50 + 0.11,0.62 + 0.14,0.61 + 0.13,0.61 + 0.13,0.69 + 0.15
RandomSampling,0.38 + 0.05,0.51 + 0.18,0.55 + 0.18,0.61 + 0.15,0.69 + 0.06,0.70 + 0.07
