method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.45 + 0.06,0.52 + 0.06,0.52 + 0.04,0.58 + 0.03,0.58 + 0.01,0.61 + 0.02,0.58 + 0.04,0.61 + 0.04,0.59 + 0.10,0.67 + 0.06,0.65 + 0.07
AlbaMethod,0.46 + 0.03,0.49 + 0.08,0.51 + 0.10,0.54 + 0.07,0.54 + 0.07,0.56 + 0.08,0.59 + 0.08,0.60 + 0.09,0.60 + 0.09,0.59 + 0.09,0.59 + 0.09
BasicActiveLearning,0.46 + 0.03,0.47 + 0.04,0.48 + 0.04,0.51 + 0.06,0.54 + 0.10,0.56 + 0.08,0.57 + 0.10,0.57 + 0.09,0.58 + 0.10,0.58 + 0.09,0.63 + 0.07
RandomSampling,0.46 + 0.03,0.57 + 0.11,0.59 + 0.10,0.59 + 0.09,0.60 + 0.09,0.61 + 0.08,0.61 + 0.09,0.62 + 0.08,0.64 + 0.08,0.67 + 0.07,0.68 + 0.07
