method,0,20,40,60,80,100
SmartInitialGuess,0.60 + 0.00,0.83 + 0.00,0.86 + 0.00,0.92 + 0.00,0.95 + 0.00,0.97 + 0.00
AlbaMethod,0.49 + 0.00,0.82 + 0.00,0.96 + 0.00,0.98 + 0.00,0.99 + 0.00,1.00 + 0.00
BasicActiveLearning,0.49 + 0.00,0.89 + 0.00,0.97 + 0.00,1.00 + 0.00,1.00 + 0.00,1.00 + 0.00
RandomSampling,0.49 + 0.00,0.88 + 0.00,0.92 + 0.00,0.95 + 0.00,0.96 + 0.00,0.98 + 0.00
