method,0,20,40,60,80,100
SmartInitialGuess,0.49 + 0.00,0.65 + 0.00,0.76 + 0.00,0.79 + 0.00,0.80 + 0.00,0.81 + 0.00
AlbaMethod,0.66 + 0.00,0.69 + 0.00,0.72 + 0.00,0.73 + 0.00,0.74 + 0.00,0.75 + 0.00
BasicActiveLearning,0.66 + 0.00,0.73 + 0.00,0.82 + 0.00,0.84 + 0.00,0.85 + 0.00,0.85 + 0.00
RandomSampling,0.66 + 0.00,0.70 + 0.00,0.67 + 0.00,0.63 + 0.00,0.72 + 0.00,0.71 + 0.00
