method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.50 + 0.05,0.55 + 0.07,0.56 + 0.04,0.58 + 0.06,0.57 + 0.03,0.58 + 0.06,0.68 + 0.04,0.67 + 0.08,0.69 + 0.06,0.69 + 0.11,0.71 + 0.07
AlbaMethod,0.60 + 0.04,0.63 + 0.05,0.63 + 0.06,0.66 + 0.07,0.69 + 0.08,0.69 + 0.07,0.69 + 0.07,0.69 + 0.07,0.69 + 0.07,0.69 + 0.07,0.70 + 0.07
BasicActiveLearning,0.60 + 0.04,0.64 + 0.03,0.67 + 0.05,0.70 + 0.06,0.72 + 0.06,0.74 + 0.06,0.75 + 0.06,0.77 + 0.06,0.79 + 0.05,0.80 + 0.03,0.82 + 0.03
RandomSampling,0.60 + 0.04,0.65 + 0.05,0.65 + 0.06,0.68 + 0.04,0.69 + 0.03,0.70 + 0.05,0.70 + 0.06,0.74 + 0.06,0.74 + 0.06,0.74 + 0.07,0.74 + 0.07
