method,0,10,20,30,40,50,60,70,80,90,100
SmartInitialGuess,0.61 + 0.03,0.71 + 0.11,0.75 + 0.05,0.68 + 0.08,0.74 + 0.08,0.79 + 0.08,0.84 + 0.08,0.78 + 0.02,0.79 + 0.03,0.83 + 0.03,0.84 + 0.07
AlbaMethod,0.40 + 0.05,0.82 + 0.03,0.88 + 0.03,0.91 + 0.04,0.93 + 0.04,0.93 + 0.04,0.95 + 0.02,0.96 + 0.01,0.97 + 0.01,0.98 + 0.01,0.98 + 0.01
BasicActiveLearning,0.40 + 0.05,0.72 + 0.06,0.82 + 0.05,0.93 + 0.05,0.96 + 0.03,0.97 + 0.02,0.98 + 0.02,0.97 + 0.03,0.98 + 0.02,0.98 + 0.02,0.98 + 0.02
RandomSampling,0.40 + 0.05,0.76 + 0.05,0.82 + 0.06,0.88 + 0.06,0.91 + 0.06,0.92 + 0.05,0.94 + 0.04,0.96 + 0.03,0.96 + 0.02,0.98 + 0.02,0.98 + 0.01
