auc_roc,0.5354553492484526,0.5364809902740937,0.5359858532272326,0.5703271441202475,0.5782493368700266,0.6016622458001768,0.6193810786914236,0.6140053050397878,0.6137577365163572,0.620053050397878,0.6158797524314765,0.6254288240495137,0.6348010610079576,0.6287533156498674,0.6366755083996464,0.6843501326259946,0.6868611847922192,0.682157382847038,0.683289124668435,0.6855172413793105,0.6882758620689655,0.6917418213969938,0.6992396109637489,0.6968346595932803,0.7009725906277631,0.7016091954022988,0.7027055702917773,0.7038726790450929,0.7013262599469496,0.707338638373121,0.7096021220159151,0.7151547303271442,0.7194341290893016,0.7162511052166225,0.7186560565870911,0.7328735632183908,0.7336162687886826,0.739946949602122,0.7392396109637489,0.738320070733864,0.7485764809902741,0.7479398762157383,0.7489301503094606,0.7462776304155615,0.7472679045092838,0.7499557913351016,0.7524314765694076,0.7554022988505746,0.7482228116710875,0.7473740053050398,0.747869142351901,0.7531388152077808,0.7563925729442972,0.761343943412909,0.7619098143236074,0.7661538461538461,0.7677453580901857,0.7673916887709991,0.7700442086648983,0.7714235190097258,0.7758090185676393,0.7765163572060123,0.7758443854995579,0.7758443854995579,0.776657824933687,0.7766931918656057,0.7838019451812556,0.7835543766578249,0.783448275862069,0.783448275862069,0.7815384615384616,0.7816799292661362,0.7829885057471264,0.7840848806366048,0.7840141467727675,0.7844385499557914,0.7845446507515473,0.7801945181255527,0.782316534040672,0.7816091954022988,0.782528735632184,0.7829531388152078,0.7839787798408488,0.7843324491600354,0.7859593280282935,0.7859946949602122,0.7858532272325376,0.783872679045093,0.785393457117595,0.7873386383731211,0.7882228116710875,0.7897082228116711,0.7922192749778957,0.7943059239610964,0.7963925729442971,0.7958620689655174,0.7938815207780725,0.7893899204244033,0.790450928381963,0.7906631299734748,0.7918656056587091
auc_pr,0.14313478969713941,0.1449521102729649,0.1482670210615598,0.1631973548554203,0.16552412278962458,0.18692364707206005,0.1918913487074956,0.18672835042201089,0.18477848887443754,0.18664066386394557,0.18574778727415908,0.18836620097216453,0.1907652127111624,0.18649109005547826,0.19304108636341388,0.2500966112527395,0.2516505583469353,0.24478599633502496,0.24196604478320374,0.23927480444578497,0.23933217469314327,0.23867474579042489,0.25080895938452213,0.25009391383966434,0.26666465529088446,0.2778802409783737,0.27878071336179117,0.27956642928002023,0.2796351155764601,0.2815845065345126,0.2821594294711148,0.28566922087312163,0.28687012028255227,0.28392693005412445,0.28899115220714666,0.31576907554783706,0.31631720890750814,0.32028769460580736,0.31309866589870694,0.3120462998151144,0.32323314378332935,0.32035065748008373,0.3211545698912597,0.3198311555601639,0.32079053059880536,0.3223409315791724,0.32850315459030227,0.3271070301538539,0.32899350518782866,0.3271451683995631,0.32905244119188043,0.3437239453794254,0.36633291650511496,0.3895273989257784,0.3890110723084605,0.39068523370182884,0.4002065606906734,0.3993913146018651,0.4008220926078466,0.4017962876873064,0.40575790463659495,0.4063987013662145,0.4082967411953665,0.4079912050221556,0.41877076196605506,0.41818224850712754,0.4498472775378036,0.44892789667924193,0.44863274994413815,0.44850777357880506,0.4467236010224968,0.44676513784253186,0.4476945007288768,0.44701968897928623,0.44627951831241996,0.4482226577548368,0.44831293422547286,0.44253511316445926,0.4517050154195594,0.4509947625069009,0.452671850186812,0.45279139146008196,0.4547583918673985,0.4530476601923311,0.45183017487974325,0.44600849180645386,0.4434185209850615,0.442683837632716,0.4434932373485829,0.444957232129256,0.44514128808579717,0.4464499293341948,0.450516411737695,0.45187532507949457,0.4535092490949501,0.45216869436640206,0.4463930122450447,0.44484917009374825,0.4453660096693091,0.44561296543025763,0.44561275308540194
auc_roc_bag,0.4800000000000001,0.52,0.56,1.0,1.0,0.8400000000000001,0.8400000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8400000000000001,0.8,0.8,0.8,0.8,0.76,0.72,0.72,0.76,0.8,0.76,0.76,0.76,0.8,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8,0.8,0.8,0.8,0.8,0.8,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8400000000000001,0.8400000000000001,0.88,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8400000000000001,0.8400000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8400000000000001,0.8400000000000001,0.84,0.84,0.84,0.84,0.88,0.88,0.88,0.88,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.88,0.88,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001
auc_pr_bag,0.5749206349206348,0.6082539682539683,0.6915873015873015,1.0,1.0,0.7766666666666666,0.7766666666666666,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8347619047619046,0.7514285714285713,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.6014285714285714,0.5829761904761905,0.5829761904761905,0.6014285714285714,0.7514285714285713,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.7514285714285713,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8347619047619046,0.8347619047619046,0.8930952380952379,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.7766666666666666,0.7766666666666666,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8347619047619046,0.8347619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.8930952380952379,0.8930952380952379,0.874642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.8163095238095237,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8347619047619046,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.8599999999999999
Date,2024-06-11
Time,75.27932643890381
seed,12
Number of anomalous bags,5
Number of anomalies,65
Rewards bXagX 0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 1,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 2,0.040000000000000036,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 3,0.0,0.0,0.07999999999999996,0.040000000000000036,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 4,0.040000000000000036,0.07999999999999996,0.040000000000000036,0.040000000000000036,0.0,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 5,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 6,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 7,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 8,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 9,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0
Rewards bag 1,0
Rewards bag 2,0
Rewards bag 3,0
Rewards bag 4,0
Rewards bag 5,0
Rewards bag 6,0
Rewards bag 7,0
Rewards bag 8,0
Rewards bag 9,0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
